effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,(Intercept),1.3722687524608193,0.08572470564138977,16.007856103949777,1.1262412485835773e-57,CDL_random_z-inb
fixed,cond,NA,tchiyr.std,-8.549419822023423e-4,0.05665392271472254,-0.01509060522617916,0.9879598960534481,CDL_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.7712611537264185,0.1468321910868953,-12.063166398424077,1.653030979048526e-33,CDL_random_z-inb
fixed,cond,NA,SpkrTypeChild,-2.9598427251607218,0.24045814301300064,-12.30918066684352,8.083967044837087e-35,CDL_random_z-inb
fixed,cond,NA,nsk.std,0.48391762432019114,0.030587414554646163,15.8208083738377,2.236032068010572e-56,CDL_random_z-inb
fixed,cond,NA,group_corpNEUK_English,0.006477827543533002,0.1650078788124512,0.03925768630051741,0.9686849420312594,CDL_random_z-inb
fixed,cond,NA,group_corpNEArg_Spanish,0.12893543375710384,0.1495489181325915,0.862162263472802,0.3885982324220029,CDL_random_z-inb
fixed,cond,NA,group_corpNETseltal,0.15127971517439612,0.158585134932011,0.9539337671166538,0.3401171696561924,CDL_random_z-inb
fixed,cond,NA,group_corpNEYeli_Dnye,-0.6855611057117207,0.17781471033180207,-3.8554802605052436,1.1550265084544392e-4,CDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEUK_English,0.5208884045790976,0.27825792547462,1.8719625099289685,0.061211790368374284,CDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEUK_English,0.5900998771979968,0.39870316466274286,1.480048139816381,0.13886040002225394,CDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEArg_Spanish,0.583263244147063,0.2376995738537822,2.4537832975075076,0.0141362141049681,CDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEArg_Spanish,1.2104901268510828,0.3177830080063462,3.809171970664049,1.3943295701961673e-4,CDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNETseltal,-0.14641061185885296,0.2963543125223746,-0.49403907981868506,0.6212785802743825,CDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNETseltal,2.1251598374054184,0.3086556420115882,6.885212995152803,5.7701135342060484e-12,CDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEYeli_Dnye,0.3844191283135822,0.2809668318480231,1.3682010996996157,0.1712491374920388,CDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEYeli_Dnye,3.711813817058582,0.2904048841046813,12.781513053756344,2.079836029564003e-37,CDL_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.1828303548713085,0.10201040103434836,-1.7922716999195691,0.07308945424275581,CDL_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.052095348605348514,0.07689837509762486,0.6774570794143812,0.49811599333373807,CDL_random_z-inb
fixed,zi,NA,(Intercept),-3.9141394028197176,0.845630560496063,-4.628663609938138,3.6803303526665338e-6,CDL_random_z-inb
fixed,zi,NA,tchiyr.std,0.17251861955497672,0.5051654245555846,0.34150915951294303,0.7327203106093547,CDL_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.22970222599600607,NA,NA,NA,CDL_random_z-inb
