effect,component,group,term,estimate,std.error,statistic,p.value,lg.grp.ref,model
fixed,cond,NA,SpkrTypeMan:group_corpUKArg_Spanish,-0.04078976700174302,0.3142103473352039,-0.12981675284623245,0.8967114082218248,UK English,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKArg_Spanish,-0.42567409290306324,0.29073109496076066,-1.4641505510805974,0.14315281772607658,UK English,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpUKTseltal,-0.6487541163512558,0.3513910275538702,-1.8462455369660746,0.06485656176333354,UK English,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKTseltal,-0.21335008403134026,0.303707926209267,-0.7024844122254927,0.48237711940774597,UK English,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpUKYeli_Dnye,-0.4760782415173562,0.3034073167510183,-1.5691060011846547,0.11662324168313538,UK English,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKYeli_Dnye,-0.8050496255155952,0.2819504219005605,-2.8552878910020696,0.004299783319813914,UK English,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpUKNA_English,-0.015092577886896818,0.25646042268760805,-0.0588495399357621,0.9530719496422618,UK English,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpUKArg_Spanish,0.08298910876890067,0.31034718193482336,0.26740732186293664,0.7891555626128106,UK English,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpUKTseltal,0.25299204047171936,0.24698119269364396,1.0243372692168156,0.30567600036096565,UK English,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpUKYeli_Dnye,-0.12160446041901697,0.2474701694169827,-0.49139037931523655,0.6231503674199589,UK English,ADS_random_z-inb
fixed,zi,NA,(Intercept),-17.343931978421345,1960.800597214463,-0.008845331852234411,0.992942538309222,UK English,ADS_random_z-inb
fixed,zi,NA,group_corpUKNA_English,0.0975796196175272,3149.2816696189193,3.0984722820723394e-5,0.9999752777680445,UK English,ADS_random_z-inb
fixed,zi,NA,group_corpUKArg_Spanish,15.295687766927214,1960.8006550745338,0.007800735749114586,0.9937759765064476,UK English,ADS_random_z-inb
fixed,zi,NA,group_corpUKTseltal,-2.2231470711718146,8571.377558141445,-2.593687019492192e-4,0.9997930537194796,UK English,ADS_random_z-inb
fixed,zi,NA,group_corpUKYeli_Dnye,-0.1416960063200101,3812.044484840064,-3.7170606713409064e-5,0.9999703421467945,UK English,ADS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3516482923327327,NA,NA,NA,UK English,ADS_random_z-inb
fixed,cond,NA,(Intercept),1.4298061151418875,0.18995742824209041,7.5269818525847665,5.192658379227225e-14,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.21652056765245703,0.21653673960587014,-0.9999253154294161,0.31734665217188396,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-0.6567019702411853,0.1902040213728771,-3.4526187485478177,5.551730560026761e-4,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-0.710451973813014,0.17826286444136782,-3.985417692234423,6.736152475659866e-5,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,nsk.std,0.7094455725003797,0.03293953872646409,21.537811394134707,6.888539544152707e-103,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,group_corpASNA_English,-0.27134353932444205,0.22157515150029786,-1.2246117738706692,0.22072152966283948,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,group_corpASUK_English,-0.4564190544812935,0.30539888719747066,-1.4945013672763428,0.1350446248173779,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,group_corpASTseltal,-0.08743395769113323,0.2586057790489972,-0.3380974625264171,0.7352897426812667,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,group_corpASYeli_Dnye,-0.29862437404255177,0.24955994673597787,-1.1966037737557367,0.23146102888000575,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASNA_English,-0.3397021013338796,0.22932321029821687,-1.4813245501496497,0.13852010951285285,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASNA_English,-0.17771499563270055,0.21673707197259065,-0.8199566138605722,0.4122408408659694,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASUK_English,0.040782005285905205,0.31421027238309884,0.1297920815147062,0.8967309279558777,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASUK_English,0.42566554714740223,0.29073097745428317,1.4641217488230585,0.14316068581407987,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASTseltal,-0.6079628160485263,0.311729869492559,-1.9502873338322764,0.05114188148575626,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASTseltal,0.2123254263129263,0.26654368601957934,0.7965877169468184,0.42569051339128244,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASYeli_Dnye,-0.4352862929739314,0.25622010438717374,-1.698876417270407,0.08934247128222164,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASYeli_Dnye,-0.3793757434748741,0.24138621429214108,-1.5716545561120125,0.11603068667069051,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpASNA_English,-0.09808029766701667,0.2512372594948827,-0.3903891399874724,0.696248817116722,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpASUK_English,-0.08299330550777562,0.31034777639939304,-0.2674203323466697,0.7891455463601138,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpASTseltal,0.17000335854928275,0.2427234518592671,0.7003993938247549,0.4836779147305662,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpASYeli_Dnye,-0.2045933438784174,0.24074210075269623,-0.8498444735621342,0.39541155995895433,Argentinian Spanish,ADS_random_z-inb
fixed,zi,NA,(Intercept),-2.0482496591353945,0.4834856157522157,-4.236423158005829,2.2710859299156768e-5,Argentinian Spanish,ADS_random_z-inb
fixed,zi,NA,group_corpASNA_English,-15.544579929276054,2930.486718132284,-0.005304436233440169,0.995767692073023,Argentinian Spanish,ADS_random_z-inb
fixed,zi,NA,group_corpASUK_English,-20.154377437954246,22258.088722294542,-9.054855378380651e-4,0.9992775271680552,Argentinian Spanish,ADS_random_z-inb
fixed,zi,NA,group_corpASTseltal,-16.391043472909153,4747.689955368357,-0.003452424995523413,0.9972453688709272,Argentinian Spanish,ADS_random_z-inb
fixed,zi,NA,group_corpASYeli_Dnye,-14.797742376765042,2374.242239050841,-0.006232616930731039,0.9950271233732499,Argentinian Spanish,ADS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3516493715355841,NA,NA,NA,Argentinian Spanish,ADS_random_z-inb
fixed,cond,NA,(Intercept),1.3423718918526295,0.1809486088644491,7.418525626014717,1.1843126542630621e-13,Tseltal,ADS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.04651747320812208,0.10888100507333558,-0.4272322171970286,0.6692101976871915,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.2646645640606868,0.24712188105683708,-5.1175742052959645,3.094903135705246e-7,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-0.49812685530357453,0.19885682275792047,-2.5049522988204043,0.012246790884827765,Tseltal,ADS_random_z-inb
fixed,cond,NA,nsk.std,0.709445509063219,0.03293953207184212,21.537813819452467,6.888178951175956e-103,Tseltal,ADS_random_z-inb
fixed,cond,NA,group_corpTSNA_English,-0.18390935967495076,0.21380218738286935,-0.8601846497744778,0.3896872648911329,Tseltal,ADS_random_z-inb
fixed,cond,NA,group_corpTSUK_English,-0.36898484192276815,0.29981542134193484,-1.230706680367674,0.21843258866271492,Tseltal,ADS_random_z-inb
fixed,cond,NA,group_corpTSArg_Spanish,0.08743443011972143,0.25860580098345065,0.3380992606786758,0.7352883876656073,Tseltal,ADS_random_z-inb
fixed,cond,NA,group_corpTSYeli_Dnye,-0.2111901331918317,0.23971263466016277,-0.8810137750612644,0.3783103642677716,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSNA_English,0.26826077194053644,0.27800674988874435,0.9649433765471228,0.3345731736837473,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSNA_English,-0.39003993104563717,0.23369062286180217,-1.6690439961568138,0.09510866090635979,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSUK_English,0.6487445255232095,0.35139091380960263,1.846218840691836,0.06486043637721339,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSUK_English,0.21333970239058453,0.30370784887368574,0.702450408120055,0.4823983185279635,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSArg_Spanish,0.6079621201019249,0.31172988090659354,1.9502850298912926,0.051142155937914435,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSArg_Spanish,-0.2123253729242602,0.26654372008569505,-0.7965874148375982,0.42569068890573325,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSYeli_Dnye,0.17267674833723473,0.30051928501806624,0.5745945666244147,0.5655655275626488,Tseltal,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSYeli_Dnye,-0.5917003591291927,0.2567112893253135,-2.3049253528518157,0.021170754431839682,Tseltal,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpTSNA_English,-0.2680833339258895,0.16854293359080125,-1.5905937330885582,0.11170103576488648,Tseltal,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpTSUK_English,-0.25299681037293237,0.2469815736687754,-1.0243550019331562,0.3056676276522099,Tseltal,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpTSArg_Spanish,-0.17000282916473658,0.2427233965202037,-0.7003973724905665,0.4836791767175909,Tseltal,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpTSYeli_Dnye,-0.3745962987265108,0.1544423047934945,-2.425477263029616,0.015288273375104092,Tseltal,ADS_random_z-inb
fixed,zi,NA,(Intercept),-16.726308405103214,2016.0910814679883,-0.008296405137075549,0.9933805023680924,Tseltal,ADS_random_z-inb
fixed,zi,NA,group_corpTSNA_English,-1.9179412336893553,5351.674854917809,-3.583814947066344e-4,0.9997140529446171,Tseltal,ADS_random_z-inb
fixed,zi,NA,group_corpTSUK_English,-6.699591707047757,41081.03283129322,-1.6308235809359655e-4,0.9998698791049145,Tseltal,ADS_random_z-inb
fixed,zi,NA,group_corpTSArg_Spanish,14.678059215915626,2016.0911254434416,0.007280454256593768,0.9941910892699769,Tseltal,ADS_random_z-inb
fixed,zi,NA,group_corpTSYeli_Dnye,-0.8441302228557567,3962.02334419696,-2.1305533802372096e-4,0.9998300064364803,Tseltal,ADS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.351649254803616,NA,NA,NA,Tseltal,ADS_random_z-inb
fixed,cond,NA,(Intercept),1.1311820091879663,0.17337164153465875,6.524608056859353,6.817958297189835e-11,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.42111384291154996,0.10868912893741627,-3.874479876952822,1.068526719324362e-4,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.0919875233521492,0.17197601696625725,-6.349650041996285,2.1580529217893708e-10,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-1.0898272879623985,0.16367958956811443,-6.658296803150721,2.7701893200243365e-11,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,nsk.std,0.7094454588931326,0.03293953460822254,21.537810637920703,6.888651980884022e-103,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,group_corpYDNA_English,0.027281716423392343,0.20627875516829072,0.13225654964387773,0.8947813737616166,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,group_corpYDUK_English,-0.15779511895719445,0.2954169213926759,-0.5341438067031004,0.5932420435545311,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,group_corpYDArg_Spanish,0.29862448211711146,0.24955997907593638,1.1966040517508045,0.23146092047420963,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,group_corpYDTseltal,0.21118944343313764,0.2397126434543278,0.8810108653003751,0.37831193916213995,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDNA_English,0.09558307863628733,0.21414577660830353,0.44634584977652597,0.6553474415758946,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpYDNA_English,0.2016588808493163,0.20464693638473505,0.9853989725514325,0.32442813414495925,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDUK_English,0.47606812675797344,0.30340711948247356,1.5690736841311126,0.11663077083382022,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpYDUK_English,0.8050400836471729,0.2819502569844075,2.8552557187124448,0.004300218944429131,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDArg_Spanish,0.435283735817271,0.25622011002553396,1.6988663995729771,0.08934435921013975,Yélî Dnye,ADS_random_z-inb
