aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip,tds_mph,cds_mph,ads_mph
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-4,8,13.928571428571429,8.62473932153252,6,2.76,8.376,18
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-5,8,13.928571428571429,8.62473932153252,8,0,0,81.288
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-6,8,13.928571428571429,8.62473932153252,7,0.48,10.464,46.416
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-7,8,13.928571428571429,8.62473932153252,4,4.4399999999999995,7.512,16.704
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-8,8,13.928571428571429,8.62473932153252,6,7.92,69.552,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-9,8,13.928571428571429,8.62473932153252,7,1.248,13.248,15.36
1156,UK_English,UK_English,ROW,1,25,13.928571428571429,8.62473932153252,2,21.42,21.63,2.0700000000000003
1156,UK_English,UK_English,ROW,10,25,13.928571428571429,8.62473932153252,3,1.65,2.82,12.09
1156,UK_English,UK_English,ROW,11,25,13.928571428571429,8.62473932153252,3,14.16,16.95,0.39
1156,UK_English,UK_English,ROW,12,25,13.928571428571429,8.62473932153252,1,8.67,8.67,0.7799999999999999
1156,UK_English,UK_English,ROW,13,25,13.928571428571429,8.62473932153252,2,0,22.71,10.08
1156,UK_English,UK_English,ROW,14,25,13.928571428571429,8.62473932153252,2,5.76,5.76,4.41
1156,UK_English,UK_English,ROW,15,25,13.928571428571429,8.62473932153252,2,0,0.72,0
1156,UK_English,UK_English,ROW,2,25,13.928571428571429,8.62473932153252,1,6.39,6.39,0
1156,UK_English,UK_English,ROW,3,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,4,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,5,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,6,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,7,25,13.928571428571429,8.62473932153252,2,0.3,12.81,20.49
1156,UK_English,UK_English,ROW,8,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,9,25,13.928571428571429,8.62473932153252,4,0.8099999999999999,1.86,54.78
1196,NA_English,NA_English,BER,1,9,13.928571428571429,8.62473932153252,2,0,4.47,12.63
1196,NA_English,NA_English,BER,10,9,13.928571428571429,8.62473932153252,2,2.1599999999999997,4.5,9.48
1196,NA_English,NA_English,BER,11,9,13.928571428571429,8.62473932153252,0,0,0,0
1196,NA_English,NA_English,BER,12,9,13.928571428571429,8.62473932153252,2,0,0,27.3
1196,NA_English,NA_English,BER,13,9,13.928571428571429,8.62473932153252,0,0,0,0
1196,NA_English,NA_English,BER,14,9,13.928571428571429,8.62473932153252,2,0,0.84,11.46
1196,NA_English,NA_English,BER,15,9,13.928571428571429,8.62473932153252,1,0,0,35.339999999999996
1196,NA_English,NA_English,BER,2,9,13.928571428571429,8.62473932153252,2,0,4.68,1.35
1196,NA_English,NA_English,BER,3,9,13.928571428571429,8.62473932153252,1,0,0,0.39
1196,NA_English,NA_English,BER,4,9,13.928571428571429,8.62473932153252,2,0.8099999999999999,1.5599999999999998,0.5399999999999999
1196,NA_English,NA_English,BER,5,9,13.928571428571429,8.62473932153252,2,0,0,3.99
1196,NA_English,NA_English,BER,6,9,13.928571428571429,8.62473932153252,1,0,0,2.13
1196,NA_English,NA_English,BER,7,9,13.928571428571429,8.62473932153252,2,0,2.31,9.57
1196,NA_English,NA_English,BER,8,9,13.928571428571429,8.62473932153252,2,0.8099999999999999,3.42,6.27
1196,NA_English,NA_English,BER,9,9,13.928571428571429,8.62473932153252,2,1.02,1.02,11.49
1299,Arg_Spanish,Arg_Spanish,ROS,1,23,13.928571428571429,8.62473932153252,3,1.86,1.86,28.38
1299,Arg_Spanish,Arg_Spanish,ROS,10,23,13.928571428571429,8.62473932153252,4,5.22,10.98,6.33
1299,Arg_Spanish,Arg_Spanish,ROS,11,23,13.928571428571429,8.62473932153252,3,4.050000000000001,4.59,45.24
1299,Arg_Spanish,Arg_Spanish,ROS,12,23,13.928571428571429,8.62473932153252,1,2.88,2.88,0
1299,Arg_Spanish,Arg_Spanish,ROS,13,23,13.928571428571429,8.62473932153252,5,5.31,5.31,3.9
1299,Arg_Spanish,Arg_Spanish,ROS,14,23,13.928571428571429,8.62473932153252,3,0,0,7.890000000000001
1299,Arg_Spanish,Arg_Spanish,ROS,15,23,13.928571428571429,8.62473932153252,4,0.57,2.4,3.21
1299,Arg_Spanish,Arg_Spanish,ROS,2,23,13.928571428571429,8.62473932153252,4,0.51,3.27,26.61
1299,Arg_Spanish,Arg_Spanish,ROS,3,23,13.928571428571429,8.62473932153252,2,8.100000000000001,9.6,0
1299,Arg_Spanish,Arg_Spanish,ROS,4,23,13.928571428571429,8.62473932153252,5,4.74,10.08,12.27
1299,Arg_Spanish,Arg_Spanish,ROS,5,23,13.928571428571429,8.62473932153252,7,3.39,16.830000000000002,1.7999999999999998
1299,Arg_Spanish,Arg_Spanish,ROS,6,23,13.928571428571429,8.62473932153252,3,3.78,3.78,0.87
1299,Arg_Spanish,Arg_Spanish,ROS,7,23,13.928571428571429,8.62473932153252,3,0,2.6399999999999997,41.7
1299,Arg_Spanish,Arg_Spanish,ROS,8,23,13.928571428571429,8.62473932153252,5,1.5299999999999998,10.89,35.61
1299,Arg_Spanish,Arg_Spanish,ROS,9,23,13.928571428571429,8.62473932153252,6,0,13.05,19.53
1499,NA_English,NA_English,SOD,1,32,13.928571428571429,8.62473932153252,5,5.94,14.88,1.23
1499,NA_English,NA_English,SOD,10,32,13.928571428571429,8.62473932153252,3,0.7799999999999999,1.5,0
1499,NA_English,NA_English,SOD,11,32,13.928571428571429,8.62473932153252,0,0,0,0
1499,NA_English,NA_English,SOD,12,32,13.928571428571429,8.62473932153252,5,10.14,14.13,3.66
1499,NA_English,NA_English,SOD,13,32,13.928571428571429,8.62473932153252,0,0,0,0
1499,NA_English,NA_English,SOD,14,32,13.928571428571429,8.62473932153252,6,6.930000000000001,8.61,0
1499,NA_English,NA_English,SOD,15,32,13.928571428571429,8.62473932153252,2,3.36,3.36,0
1499,NA_English,NA_English,SOD,2,32,13.928571428571429,8.62473932153252,0,0,0,0
1499,NA_English,NA_English,SOD,3,32,13.928571428571429,8.62473932153252,0,0,0,0
1499,NA_English,NA_English,SOD,4,32,13.928571428571429,8.62473932153252,10,7.38,11.07,1.41
1499,NA_English,NA_English,SOD,5,32,13.928571428571429,8.62473932153252,8,4.050000000000001,9,2.85
1499,NA_English,NA_English,SOD,6,32,13.928571428571429,8.62473932153252,5,1.2899999999999998,5.04,2.1
1499,NA_English,NA_English,SOD,7,32,13.928571428571429,8.62473932153252,11,0,6.96,10.23
1499,NA_English,NA_English,SOD,8,32,13.928571428571429,8.62473932153252,4,1.05,3.54,1.92
1499,NA_English,NA_English,SOD,9,32,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,1,7,13.928571428571429,8.62473932153252,2,3.21,8.7,10.29
1618,NA_English,NA_English,BER,10,7,13.928571428571429,8.62473932153252,5,10.62,15.6,17.88
1618,NA_English,NA_English,BER,11,7,13.928571428571429,8.62473932153252,2,7.68,11.91,6.99
1618,NA_English,NA_English,BER,12,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,13,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,14,7,13.928571428571429,8.62473932153252,4,3.03,12.239999999999998,37.23
1618,NA_English,NA_English,BER,15,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,2,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,3,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,4,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,5,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,6,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,7,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,8,7,13.928571428571429,8.62473932153252,0,0,0,0
1618,NA_English,NA_English,BER,9,7,13.928571428571429,8.62473932153252,0,0,0,0
1735,UK_English,UK_English,ROW,1,21,13.928571428571429,8.62473932153252,1,8.61,8.61,0
1735,UK_English,UK_English,ROW,10,21,13.928571428571429,8.62473932153252,0,0,0,0
1735,UK_English,UK_English,ROW,11,21,13.928571428571429,8.62473932153252,3,7.53,12.75,1.83
1735,UK_English,UK_English,ROW,12,21,13.928571428571429,8.62473932153252,2,1.62,1.62,0
1735,UK_English,UK_English,ROW,13,21,13.928571428571429,8.62473932153252,1,1.2,1.2,0
1735,UK_English,UK_English,ROW,14,21,13.928571428571429,8.62473932153252,2,12.06,15.45,4.68
1735,UK_English,UK_English,ROW,15,21,13.928571428571429,8.62473932153252,1,0.51,0.51,0
1735,UK_English,UK_English,ROW,2,21,13.928571428571429,8.62473932153252,2,0.39,0.39,0
1735,UK_English,UK_English,ROW,3,21,13.928571428571429,8.62473932153252,2,11.64,12.78,3.39
1735,UK_English,UK_English,ROW,4,21,13.928571428571429,8.62473932153252,2,9.9,22.92,9.57
1735,UK_English,UK_English,ROW,5,21,13.928571428571429,8.62473932153252,0,0,0,0
1735,UK_English,UK_English,ROW,6,21,13.928571428571429,8.62473932153252,0,0,0,0
1735,UK_English,UK_English,ROW,7,21,13.928571428571429,8.62473932153252,4,7.38,7.38,9.51
1735,UK_English,UK_English,ROW,8,21,13.928571428571429,8.62473932153252,2,9.09,9.09,0.63
1735,UK_English,UK_English,ROW,9,21,13.928571428571429,8.62473932153252,0,0,0,0
1768,UK_English,UK_English,ROW,1,21,13.928571428571429,8.62473932153252,2,1.62,1.62,2.6999999999999997
1768,UK_English,UK_English,ROW,10,21,13.928571428571429,8.62473932153252,2,0,0,42.96
1768,UK_English,UK_English,ROW,11,21,13.928571428571429,8.62473932153252,3,7.53,8.4,11.37
1768,UK_English,UK_English,ROW,12,21,13.928571428571429,8.62473932153252,2,2.46,2.46,0
1768,UK_English,UK_English,ROW,13,21,13.928571428571429,8.62473932153252,1,2.4,2.4,0.6
1768,UK_English,UK_English,ROW,14,21,13.928571428571429,8.62473932153252,6,5.3999999999999995,6.66,5.1000000000000005
1768,UK_English,UK_English,ROW,15,21,13.928571428571429,8.62473932153252,3,8.13,8.82,0
1768,UK_English,UK_English,ROW,2,21,13.928571428571429,8.62473932153252,2,0,0,0
1768,UK_English,UK_English,ROW,3,21,13.928571428571429,8.62473932153252,2,10.77,11.25,5.31
1768,UK_English,UK_English,ROW,4,21,13.928571428571429,8.62473932153252,2,3.96,3.96,2.6999999999999997
1768,UK_English,UK_English,ROW,5,21,13.928571428571429,8.62473932153252,0,0,0,0
1768,UK_English,UK_English,ROW,6,21,13.928571428571429,8.62473932153252,4,0.6,0.6,2.5500000000000003
1768,UK_English,UK_English,ROW,7,21,13.928571428571429,8.62473932153252,1,28.26,28.26,0
