aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,m_n_spkrs,tds_min,ocds_min,cds_min,ads_min,tds_mph,ocds_mph,cds_mph,ads_mph
1768,ROW,UK_English,UK_English,British English,M,21,2.1333333333333333,0.15926666666666667,0.1666,0.1666,0.1764,4.778,0.22,4.998,5.292
1844,BER,"NA_English","NA_English",English,F,10,1.7333333333333334,0.23893333333333333,0.23893333333333333,0.23893333333333333,0.22873333333333337,7.168,0,7.168,6.862
2109,CAS,Tseltal,Tseltal,Tseltal,F,7,1,0.32533333333333336,0.32533333333333336,0.32533333333333336,0.23177777777777775,3.904,0,3.904,2.781333333333333
2534,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,9,2.1333333333333333,0.18546666666666667,0.18546666666666667,0.18546666666666667,0.3221333333333333,5.564,0,5.564,9.664
2535,WAR,"NA_English","NA_English",English,M,3,1.5333333333333334,0.18653333333333333,0.18653333333333333,0.18653333333333333,0.6441333333333333,5.596,0,5.596,19.324
2625,CAS,Tseltal,Tseltal,Tseltal,F,32,3.111111111111111,0.33111111111111113,0.7276666666666667,0.7276666666666667,0.3058888888888889,3.973333333333333,4.76,8.732,3.670666666666667
2745,ROW,UK_English,UK_English,British English,M,18,0.8666666666666667,0.10693333333333334,0.10693333333333334,0.10693333333333334,0.038,3.208,0,3.208,1.14
2927,BER,"NA_English","NA_English",English,F,13,1.8666666666666667,0.13386666666666666,0.3399333333333333,0.3399333333333333,0.334,4.016,6.184,10.198,10.02
2977,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,F,13,9.333333333333334,0.1661111111111111,0.4572222222222222,0.4572222222222222,1.606,3.9866666666666664,6.984,10.973333333333333,38.544
3026,CAS,Tseltal,Tseltal,Tseltal,M,36,2.7777777777777777,0.2098888888888889,0.702,0.702,0.3302222222222222,2.518666666666667,5.906666666666666,8.424,3.9626666666666663
3090,WAR,"NA_English","NA_English",English Spanish,F,3,0.7333333333333333,0.04726666666666666,0.07213333333333333,0.07213333333333333,0.1792,1.418,0.746,2.164,5.3759999999999994
3486,ROW,UK_English,UK_English,British English,M,31,0.8,0.04073333333333333,0.04813333333333333,0.04813333333333333,0.02006666666666666,1.222,0.224,1.444,0.602
3510,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,14,2.7333333333333334,0.28213333333333335,0.366,0.366,0.3606,8.464,2.516,10.98,10.818
3528,WAR,"NA_English","NA_English",English,F,6,0.13333333333333333,0.01226666666666666,0.01226666666666666,0.01226666666666666,0,0.368,0,0.368,0
3542,SOD,"NA_English","NA_English",English,F,2,4.2,0.25233333333333335,0.2738,0.2738,0.6350666666666667,7.569999999999999,0.6499999999999999,8.214,19.052
3729,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,4,7,0.13366666666666666,1.0046666666666666,1.0046666666666666,1.1854444444444443,3.2079999999999997,20.904,24.112,28.450666666666667
3749,BER,"NA_English","NA_English",English,M,14,2.1333333333333333,0.11973333333333332,0.11973333333333332,0.11973333333333332,0.5992666666666666,3.592,0,3.592,17.978
3895,BER,"NA_English","NA_English",English,M,8,2.2666666666666666,0.0428,0.3423333333333333,0.3423333333333333,0.30506666666666665,1.284,8.982,10.27,9.152
3956,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,F,29,6.111111111111111,0.2608888888888889,0.9527777777777778,0.9527777777777778,0.30200000000000005,6.261333333333333,16.605333333333334,22.866666666666667,7.248
4483,SOD,"NA_English","NA_English",English,M,5,2.6,0.16233333333333333,0.18806666666666663,0.18806666666666663,0.22373333333333337,4.870133331128372,0.7740190687830066,5.642152399911379,6.712072074838383
4569,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,F,20,5.222222222222222,0.0758888888888889,0.7994444444444444,0.7994444444444444,0.3248888888888889,1.8213333333333337,17.373333333333335,19.186666666666667,7.797333333333333
4995,WAR,"NA_English","NA_English",English German,F,9,1.0666666666666669,0.0854,0.0954,0.0954,0.08666666666666667,2.562,0.3,2.862,2.5999999999999996
5019,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,36,6.333333333333333,0.17133333333333334,0.8487777777777777,0.8487777777777777,0.3978888888888889,4.112,16.258666666666667,20.370666666666665,9.549333333333331
5613,WAR,"NA_English","NA_English",Spanish,M,6,4.2,0.03186666666666667,0.30573333333333336,0.30573333333333336,0.6391333333333333,0.956,8.218,9.172,19.174
