aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip.st,SpkrType,tds_mph.st,cds_mph.st,ads_mph.st
0643,Tseltal,Tseltal,CAS,random-6,2,13.928571428571429,8.62473932153252,2,Child,0.336,0.336,3.048
0643,Tseltal,Tseltal,CAS,random-6,2,13.928571428571429,8.62473932153252,0,Man,0,0,0
0643,Tseltal,Tseltal,CAS,random-6,2,13.928571428571429,8.62473932153252,2,Woman,0.108,3.012,0.552
0643,Tseltal,Tseltal,CAS,random-7,2,13.928571428571429,8.62473932153252,3,Child,0,1.6919999999999995,7.872000000000001
0643,Tseltal,Tseltal,CAS,random-7,2,13.928571428571429,8.62473932153252,0,Man,0,0,0
0643,Tseltal,Tseltal,CAS,random-7,2,13.928571428571429,8.62473932153252,2,Woman,0,3.2880000000000003,5.412
0643,Tseltal,Tseltal,CAS,random-8,2,13.928571428571429,8.62473932153252,3,Child,1.044,6.012,7.656
0643,Tseltal,Tseltal,CAS,random-8,2,13.928571428571429,8.62473932153252,0,Man,0,0,0
0643,Tseltal,Tseltal,CAS,random-8,2,13.928571428571429,8.62473932153252,2,Woman,2.736,13.62,0
0643,Tseltal,Tseltal,CAS,random-9,2,13.928571428571429,8.62473932153252,2,Child,0.06,0.8280000000000001,12.24
0643,Tseltal,Tseltal,CAS,random-9,2,13.928571428571429,8.62473932153252,1,Man,0,1.6919999999999995,5.532
0643,Tseltal,Tseltal,CAS,random-9,2,13.928571428571429,8.62473932153252,1,Woman,0.108,5.244000000000001,4.584
0790,Arg_Spanish,Arg_Spanish,ROS,1,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,1,12,13.928571428571429,8.62473932153252,0,Man,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,1,12,13.928571428571429,8.62473932153252,1,Woman,3.57,3.57,0
0790,Arg_Spanish,Arg_Spanish,ROS,10,12,13.928571428571429,8.62473932153252,2,Child,0.26999999999999996,6.3,4.56
0790,Arg_Spanish,Arg_Spanish,ROS,10,12,13.928571428571429,8.62473932153252,2,Man,0.75,0.75,2.19
0790,Arg_Spanish,Arg_Spanish,ROS,10,12,13.928571428571429,8.62473932153252,1,Woman,1.92,11.28,5.61
0790,Arg_Spanish,Arg_Spanish,ROS,11,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,11,12,13.928571428571429,8.62473932153252,0,Man,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,11,12,13.928571428571429,8.62473932153252,1,Woman,18.3,18.3,0
0790,Arg_Spanish,Arg_Spanish,ROS,12,12,13.928571428571429,8.62473932153252,2,Child,0,0.51,0
0790,Arg_Spanish,Arg_Spanish,ROS,12,12,13.928571428571429,8.62473932153252,0,Man,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,12,12,13.928571428571429,8.62473932153252,1,Woman,15.69,15.69,0
0790,Arg_Spanish,Arg_Spanish,ROS,13,12,13.928571428571429,8.62473932153252,1,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,13,12,13.928571428571429,8.62473932153252,0,Man,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,13,12,13.928571428571429,8.62473932153252,1,Woman,9.09,9.09,0
0790,Arg_Spanish,Arg_Spanish,ROS,14,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,14,12,13.928571428571429,8.62473932153252,0,Man,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,14,12,13.928571428571429,8.62473932153252,1,Woman,12.21,12.21,0
0790,Arg_Spanish,Arg_Spanish,ROS,15,12,13.928571428571429,8.62473932153252,2,Child,0,0,0.24
0790,Arg_Spanish,Arg_Spanish,ROS,15,12,13.928571428571429,8.62473932153252,1,Man,5.8500000000000005,5.8500000000000005,0
0790,Arg_Spanish,Arg_Spanish,ROS,15,12,13.928571428571429,8.62473932153252,1,Woman,1.17,1.17,0
0790,Arg_Spanish,Arg_Spanish,ROS,2,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,2,12,13.928571428571429,8.62473932153252,2,Man,0.6,0.6,4.35
0790,Arg_Spanish,Arg_Spanish,ROS,2,12,13.928571428571429,8.62473932153252,1,Woman,0,0,18.57
0790,Arg_Spanish,Arg_Spanish,ROS,3,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,3,12,13.928571428571429,8.62473932153252,2,Man,8.639999999999999,8.639999999999999,8.79
0790,Arg_Spanish,Arg_Spanish,ROS,3,12,13.928571428571429,8.62473932153252,1,Woman,0.51,0.51,3.57
0790,Arg_Spanish,Arg_Spanish,ROS,4,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,4,12,13.928571428571429,8.62473932153252,1,Man,13.77,13.77,0
0790,Arg_Spanish,Arg_Spanish,ROS,4,12,13.928571428571429,8.62473932153252,0,Woman,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,5,12,13.928571428571429,8.62473932153252,2,Child,0,0.72,27.24
0790,Arg_Spanish,Arg_Spanish,ROS,5,12,13.928571428571429,8.62473932153252,1,Man,4.68,14.58,0
0790,Arg_Spanish,Arg_Spanish,ROS,5,12,13.928571428571429,8.62473932153252,1,Woman,0.09,3.03,0
0790,Arg_Spanish,Arg_Spanish,ROS,6,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,6,12,13.928571428571429,8.62473932153252,0,Man,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,6,12,13.928571428571429,8.62473932153252,1,Woman,9.12,9.12,0
0790,Arg_Spanish,Arg_Spanish,ROS,7,12,13.928571428571429,8.62473932153252,4,Child,0,5.52,0
0790,Arg_Spanish,Arg_Spanish,ROS,7,12,13.928571428571429,8.62473932153252,2,Man,0,1.5,0
